Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	237338	2488	90337	86654	4947	37480	1648	1698100	0.48959551615618874
red	1	404880	4142	382254	308472	6617	79675	3328	1840588	0.44659097818816723
red	2	235274	2438	254340	215368	4193	58066	2305	1282208	0.4585146516559224
red	3	397594	4035	181423	176108	5407	49586	2037	2392188	0.49256707809952144
red	4	187383	1906	180076	124764	3010	37229	1543	1199995	0.40927699776932164
red	5	329869	3473	512663	256275	2449	55750	2234	1007822	0.3332843480228575
red	6	463451	4740	558578	411448	4458	83008	3487	1887345	0.4241618265902151
green	0	1782919	18051	1702172	1231459	27803	262182	11017	6573140	0.4197729707655803
blue	0	26722	301	34338	17718	317	1977	88	101266	0.34036422314430614
