Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
green	0	659612	6552	2720236	163284	4501	234688	10487	3169596	0.056626623016313396
blue	0	79964	774	558186	124344	665	31785	1445	574104	0.18218100303283372
