Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	95498	967	1704526	1124709	537	37545	1547	2288714	0.39753113474137003
red	1	25172	258	426004	217081	298	13757	588	745737	0.3375619086123918
green	0	69736	697	1354717	736648	491	57982	2516	1411606	0.3522331109108166
