Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	2987717	31733	61307	352	1524	13248	621	3898936	0.005708817853030377
blue	0	194643	2085	1188	8	19	658	33	219672	0.006688963210702341
blue	1	322803	3361	48181	187	64	4163	203	452308	0.0038661925239827986
