Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	7393259	78017	2535672	25564	21557	584673	26096	11187109	0.009981118491228454
blue	0	1380422	14699	150733	571	416	16807	759	2333582	0.00377385925025115
blue	1	1167079	12612	44057	206	188	13096	579	1613073	0.004653999954815535
blue	2	701304	7526	41563	184	161	16677	756	1137139	0.004407502335497161
blue	3	178045	1919	16299	61	60	3108	143	337206	0.003728606356968215
blue	4	1230749	12903	60703	234	247	13911	641	1617201	0.0038400315079508344
blue	5	269956	2817	34213	127	150	3155	137	352063	0.003698311007571345
blue	6	182667	1889	10591	39	110	1355	61	247303	0.003668861712135466
blue	7	817087	8486	204364	787	629	29046	1367	1199070	0.003836198702419194
