Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	425344	4318	271305	2067	2459	34924	1558	2002437	0.007561125499319608
red	1	585435	5579	95859	1149	20931	29915	1455	2544113	0.011844383968332508
red	2	190057	1657	57644	9305	457	14256	682	1649493	0.1389863926272237
green	0	425344	4318	271305	2067	2459	34924	1558	2002437	0.007561125499319608
green	1	585435	5579	95859	1149	20931	29915	1455	2544113	0.011844383968332508
green	2	190057	1657	57644	9305	457	14256	682	1649493	0.1389863926272237
