Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	224148	2168	2511274	40347	2914	74603	3275	2371690	0.01581230127828545
red	1	199358	1956	1802394	25323	1883	68323	2927	1576174	0.013854989585367976
red	2	103600	1063	1459976	28054	838	33211	1421	1271330	0.01885311452054058
red	3	185102	1806	2163523	34250	1821	52890	2305	1905050	0.015583957032869182
red	4	163021	1599	1965418	38966	1694	50939	2271	1988770	0.01944038667241407
blue	0	19478	189	160693	27003	145	3316	154	195082	0.1438656124797545
