Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	233113	2298	2378895	35852	4255	131600	5880	1844472	0.014847104065146369
red	1	157893	1547	1714292	27183	2467	67498	3024	1620340	0.01560918187168923
red	2	320037	3185	2586815	29960	4991	110284	4954	1989213	0.011449207516886243
red	3	198894	1959	2758681	40101	2001	68375	2895	2726936	0.01432801840229071
red	4	244088	2390	2350980	31722	3516	81571	3547	2288732	0.013313456739449583
red	5	83460	828	1195892	25280	522	14497	671	1115323	0.020701424533153396
red	6	156595	1574	2216310	27707	1523	43216	1890	2296729	0.012347054411798128
