Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	453298	4629	673343	438397	8150	93437	4090	933530	0.39433410689549714
red	1	592439	6322	611285	408600	9578	103389	4519	916999	0.4006334047466136
blue	0	196947	2128	120411	40234	4296	15530	706	224881	0.25045286190046373
