Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	267891	2562	64928	24816	1478	17486	797	1867266	0.2765198787662685
green	0	198003	1900	165678	30232	1620	38488	1844	3050869	0.15431575723546526
green	1	692058	6619	328872	68878	3234	63466	2992	5105250	0.173169076052797
