Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	51238	495	789791	9242	638	32296	1409	1336264	0.011566480983889276
red	1	58761	603	816021	5845	815	42314	1806	1340113	0.007111864951220758
green	0	15615	166	16323	68	87	1254	55	77284	0.004148618144103471
