Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	557095	5777	2475666	519839	11440	254273	11333	3095249	0.1735396869643015
red	1	603589	6160	5020590	115747	5542	420058	18467	4033191	0.02253493102185468
red	2	445255	4617	3302816	80334	4131	242012	10459	3553286	0.023745326101414364
red	3	185683	1965	1279902	27623	2413	101170	4401	988830	0.02112617349572666
red	4	300615	3221	2723284	77248	2666	130060	5731	2717617	0.027583330595758234
