Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	246481	2430	857099	4479	2095	83879	3725	1500560	0.005198600707074693
red	1	68142	684	362265	1763	667	37152	1614	1459323	0.004843034052325645
red	2	115488	1129	518917	3158	911	34208	1536	1964650	0.006048939328640521
