Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	194512	2094	449774	2668	1619	33298	1455	1074555	0.005896888440949337
green	0	40120	395	220280	1581	226	3757	184	515656	0.007126083448645773
blue	0	497671	5171	2577459	36076	3493	50847	2163	5672946	0.013803526641120169
