Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	4122658	43529	2424213	21785	15409	329965	14645	7165883	0.00890638504201557
blue	0	213981	2243	21629	84	39	2674	123	364932	0.0038686501174411644
blue	1	236376	2495	21775	79	45	3404	149	422741	0.0036148988743479452
blue	2	269019	2863	12219	38	44	3258	122	362635	0.003100269233907155
blue	3	188999	2083	2930	9	31	1564	79	202331	0.003062266076896904
blue	4	189327	2074	5806	26	33	2184	91	227287	0.004458161865569273
