Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	5512548	58994	4874277	44449	18112	611976	26721	9025279	0.009036689581814477
blue	0	127320	1415	1928	7	89	2088	99	213703	0.0036175710594315244
blue	1	489996	5241	25279	107	353	5063	206	716849	0.0042149216103364055
blue	2	436811	4871	7529	33	132	6099	269	435198	0.004363924887595874
blue	3	340915	3643	6486	17	123	4315	193	361526	0.002614178071659234
blue	4	190152	2103	3869	21	72	3832	189	199294	0.005398457583547558
blue	5	215248	2361	4015	16	70	2563	143	216098	0.003969238402381543
blue	6	260313	2925	39029	134	222	5980	251	340010	0.003421596915455915
blue	7	203868	2199	10074	34	98	3087	143	185610	0.0033636723387415906
blue	8	346675	3735	370823	1916	3073	16244	708	460257	0.00514032607266747
blue	9	270693	2878	10036	42	155	3985	166	260173	0.004167493550307601
blue	10	211233	2232	20265	78	84	3560	150	279583	0.0038342427370594307
blue	11	171547	1950	3063	15	75	977	44	285360	0.004873294346978557
blue	12	2231952	23717	189554	786	541	30729	1332	3005779	0.004129452558579385
blue	13	265037	2856	9739	37	115	3361	151	259674	0.0037847790507364977
