Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
blue	0	924957	9619	9485	35	8	865	40	1928920	0.003676470588235294
blue	1	726484	7655	9732	40	10	775	32	1180141	0.004093327875562832
blue	2	1383323	14622	55734	219	56	2440	111	2402865	0.003913999249370007
blue	3	1076667	11348	49503	207	65	1911	104	1814774	0.004164152082076041
blue	4	548341	5730	14956	54	10	778	46	1229615	0.003597601598934044
blue	5	157713	1689	1315	5	7	139	6	230125	0.003787878787878788
blue	6	380326	3949	2525	15	11	309	14	519984	0.005905511811023622
