Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	112749	1229	593637	353712	995	37736	1647	715164	0.3733703207582422
green	0	235635	2268	1892986	1171309	2103	96360	4070	2188346	0.38224420298959466
