Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C	filename
red	1	1.34E+06	14292	3.73E+06	15008	25410	4.59E+05	20599	2.69E+06	0.0040051	
red	2	3.38E+05	3580.5	6.49E+05	2501.5	5376.5	2.00E+05	8459.5	1.92E+06	0.0038417	
