Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	2023714	21101	180874	788	1033	14389	604	4251375	0.004337726106725677
red	1	1662964	17130	92452	371	240	3602	166	3559869	0.003996854227939196
