Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	1272610	12999	889622	252719	12604	119314	5471	1905636	0.22122903756408988
red	1	1008757	10523	1106491	454368	14033	218055	9829	1230279	0.2911012461727805
blue	0	207917	2198	428295	2356	2642	36948	1574	323818	0.0054707872500005805
blue	1	43260	473	3089	59	98	389	23	63747	0.018742058449809404
blue	2	173073	1815	225875	4771	2079	15171	714	341699	0.02068537932589336
