Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	5797423	62566	4069988	21970	110223	706077	31297	4688153	0.005369067815456562
green	0	1565437	16831	3017861	12693	17008	134012	6016	1946648	0.004188343121422684
green	1	1225963	13110	2214850	33623	11942	99008	4468	1957431	0.01495370413609592
