Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	373530	3723	2069185	33702	3418	124370	5340	2303237	0.01602653875362775
red	1	395777	3971	2432988	68223	4467	97732	4354	2810626	0.027275987511649356
red	2	335670	3410	2700423	61212	2521	88251	3758	2746455	0.022165130439033398
red	3	181423	1840	1420158	22418	2178	64918	2845	1347638	0.015540255764687615
