Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	63265	663	812667	594256	308	28497	1173	1308710	0.42237990280918003
red	1	58986	585	823721	556339	541	29044	1227	1194064	0.40312667565178323
blue	0	4141	47	90032	15023	13	900	39	76308	0.1430012850411689
