Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
green	0	2253804	23858	3832557	16146	14677	175770	7764	2299442	0.004195179518918451
blue	0	423008	4571	738703	8964	4966	33054	1477	441644	0.011989294699378199
