Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	59969	638	493141	182450	617	29349	1246	585270	0.2700598438996375
red	1	56473	605	173541	120370	607	21082	845	164224	0.409545746841731
red	2	49475	515	652016	510892	609	22300	985	785552	0.43932280111582345
red	3	16413	158	404065	226367	108	8254	373	430921	0.3590664813968834
red	4	38813	416	664055	553480	309	18578	799	1194276	0.45459062778482756
red	5	19468	217	498868	544013	177	10866	455	811921	0.5216443678617215
red	6	11876	115	223467	95350	113	4853	233	519646	0.29907439063788943
