Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
blue	0	89513	924	55150	203	4	523	17	257618	0.003667371235524723
blue	1	89090	895	73288	287	0	2276	107	222380	0.0039007815154604147
