Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	1924183	19937	475614	1838	21115	234499	10695	2609950	0.003849601635347637
red	1	699744	7004	570995	2785	2298	74438	3232	2540462	0.004853776708843111
red	2	775865	7800	1315615	5791	2702	95666	4133	4126004	0.004382453235417427
red	3	119709	1211	117965	501	241	18432	761	567983	0.004229061502878463
red	4	290044	2995	290308	1692	519	29942	1360	1362477	0.005794520547945206
red	5	149141	1601	151018	559	42	3370	168	623192	0.0036878946014236988
