	domain	phylum	class	order	family	genus	species
ASV_624	Bacteria	NA	NA	NA	NA	NA	NA
ASV_625	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA
ASV_626	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Syntrophobotulaceae	Dehalobacter	NA
ASV_627	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronovibrionaceae	Desulfonatronovibrio	NA
ASV_628	NA	NA	NA	NA	NA	NA	NA
ASV_629	NA	NA	NA	NA	NA	NA	NA
ASV_630	NA	NA	NA	NA	NA	NA	NA
ASV_631	NA	NA	NA	NA	NA	NA	NA
ASV_632	NA	NA	NA	NA	NA	NA	NA
ASV_633	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_634	Bacteria	NA	NA	NA	NA	NA	NA
ASV_635	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	NA	NA
ASV_636	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_637	NA	NA	NA	NA	NA	NA	NA
ASV_638	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Nitrincola	NA
ASV_639	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	NA
ASV_640	NA	NA	NA	NA	NA	NA	NA
ASV_641	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera	NA
ASV_642	Bacteria	NA	NA	NA	NA	NA	NA
ASV_643	NA	NA	NA	NA	NA	NA	NA
ASV_644	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	NA
ASV_645	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	NA	NA
ASV_646	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_647	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA	NA
ASV_648	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_649	NA	NA	NA	NA	NA	NA	NA
ASV_650	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	NA	NA
ASV_651	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_652	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	NA	NA
ASV_653	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
ASV_654	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_655	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	NA	NA
ASV_656	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
ASV_657	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_658	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA
