	GB19-0250	GB19-0251	GB19-0252	GB19-0253	GB19-0254	MLW-0517-0-5	MLW-0517-10	MLW-0517-20	MLW-0517-25	MLW-0517-30	MLW-0518-00	MLW-0518-05	MLW-0518-10	MLW-0518-12	MLW-0518-17	MLW-0518-20	MLW-0518-25	MLW-0518-35	MLW-0519-05	MLW-0519-12	MLW-0519-15	MLW-0519-17	MLW-0519-25	MLW-0519-35	MLW-0521-05	MLW-0521-10	MLW-0521-14	MLW-0521-18	MLW-0521-22	MLW-0521-27	MLW-0521-35	MLW-0617-0-5m	MLW-0617-10m	MLW-0617-15m	MLW-0617-20m	MLW-0617-27m	MLW-0917-05-1	MLW-0917-05-2	MLW-0917-05-3	MLW-0917-10-1	MLW-0917-10-2	MLW-0917-10-3	MLW-0917-15-1	MLW-0917-15-2	MLW-0917-15-3	MLW-0917-20-1	MLW-0917-20-2	MLW-0917-20-3	MLW-0917-24-1	MLW-0917-24-2	MLW-0917-24-3	MLW-0917-5-1	MLW-0917-5-2	MLW-0917-5-3	MLW-0919-00	MLW-0919-10	MLW-0919-16	MLW-0919-17	MLW-0919-18	MLW-0919-20	MLW-0919-30	MLW-0920-05	MLW-0920-10	MLW-0920-15	MLW-0920-18	MLW-0920-20	MLW-0920-22	MLW-0920-25	MLW-0920-30	MLW-1018-00	MLW-1018-05	MLW-1018-12	MLW-1018-15	MLW-1018-17	MLW-1018-20	MLW-1018-30	MLW-1018-35	MLW-DNAexBlank-50cyc
ASV_342	3	0	1	8	9	11	1	7	4	8	0	0	0	0	0	0	0	0	3	1	4	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	25	5	32	0	0	1	0	0	0	0	0	0	0	0	0	11	14	17	2	0	0	0	0	0	0	5	1	0	0	0	0	0	0	25	15	17	1	0	2	0	0	0
ASV_343	25	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	15	0	0	0	7	12	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	6	0	0	36	0	0	0	0	17	5	0	0	0	0	0	0	7	5	0	17	24	0
ASV_344	6	5	3	12	19	16	0	0	1	8	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	7	0	0	0	0	0	3	13	0	1	3	6	8	13	0	5	0	2	7	1	0	4	0	4	6	0	7	14	2	0	2	2	3	1	0	4	7	13	4	3	0	0	0	0	5	2	2	2	1	0	0	0	0
ASV_345	0	0	0	2	0	25	29	50	34	19	4	6	0	7	0	0	0	0	0	3	0	0	0	0	0	8	7	4	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	4	0	0	3	1	0	0	3	0	5	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_346	36	0	10	0	0	0	0	0	0	0	0	0	0	0	7	0	13	7	0	0	0	15	25	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	12	8	0	0	0	0	0	2	5	6	0	0	0	4	9	8	9	23	0
ASV_347	3	6	0	4	4	26	1	0	0	3	0	0	4	0	0	1	0	0	10	0	5	2	0	0	0	5	6	0	0	0	0	21	13	13	6	0	5	8	8	0	6	1	2	0	0	2	0	0	0	2	4	16	3	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	3	11	5	0	2	2	0	8	0
ASV_348	0	0	0	2	0	18	30	28	30	28	2	0	0	0	0	0	0	2	11	9	0	4	0	0	0	3	8	3	1	0	0	0	0	0	0	0	1	3	0	0	0	0	9	0	5	6	3	3	1	3	3	3	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	4	0	0	0	2	1	0	0
ASV_349	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	31	27	21	10	9	24	14	11	20	13	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
ASV_350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	18	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	0	0	0	0	0	0	0	0	28	0	30	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	13	0	7	3	0	0	77	49	33	0	0	10	9	4	0	0	3	0	0	0	0	0	0
ASV_352	37	15	26	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	11	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	9	6	7	11	0	0	0	0	0	0	0	0	0	2	0	0	28	8	16	0	14	0
ASV_353	0	10	0	12	0	0	20	24	45	7	0	0	0	0	8	0	0	0	0	31	13	8	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	6	0	0
ASV_354	0	0	0	6	5	13	15	5	5	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	14	8	5	5	6	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	69	24	7	0	0	0	0	0	4	0	6	0	0	0	0	0	0
ASV_355	28	6	19	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	0	0	0	7	12	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	10	7	0	0	12	0	2	0	1	0	0	0	1	20	16	13	12	22	0
ASV_356	0	0	13	4	2	6	18	12	12	15	0	0	0	0	0	0	0	4	5	3	0	4	0	0	0	3	4	2	0	0	0	3	14	0	0	0	9	0	4	6	4	5	0	0	1	9	0	2	0	0	0	6	8	13	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	7	0	5	5	0
ASV_357	45	2	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	4	20	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	17	11	0	0	0	1	0	0	0	0	0	0	0	22	22	9	6	8	0
ASV_358	8	0	0	6	0	0	2	1	2	11	0	0	0	0	17	0	0	3	3	33	10	0	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	12	0	0	5	6	11	0	0	0	7	0	0	0	8	9	7	0	17	0
ASV_359	0	0	5	0	0	16	22	34	36	42	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	7	2	3	0	1	0	4	1	0	0	0	0	0	0	3	0	2	0	0	1	6	8	1	0	0	0	0	7	2	4	0	1	0	0	0	0
ASV_360	15	9	24	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	7	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	14	10	10	13	7	2	3	9	9	0	0	0	0	0	4	0	15	4	7	12	10	0
ASV_361	0	7	1	43	9	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	71	31	23	12	3	2	0	0	4	0	0	0	0	0	0	0	0
ASV_362	3	1	2	1	5	4	5	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	2	0	0	0	3	3	8	1	2	0	0	0	0	0	3	1	0	1	1	2	0	1	14	0	2	0	0	3	1	25	26	25	22	8	4	6	0	5	9	0	2	1	0	0	0	0
ASV_363	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4	7	3	11	13	19	5	8	12	12	8	2	15	14	2	0	0	0	0	0	7	9	10	6	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	17	0
ASV_364	32	0	11	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	9	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	18	29	22	0	0	7	13	0	0	1	11	0	0	0	0	5	6	9	7	0
ASV_365	14	41	12	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	6	0	0	0	6	3	0	0	0	0	0	28	24	7	0	0	0	0	0	17	0	7	0	0	0	0	0	8	5	0	0	0	0
ASV_366	13	13	11	0	0	0	3	10	6	19	0	0	0	0	5	5	6	5	3	5	1	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	7	0	3	2	6	0	0	5	9	0	8	0	2	0	0	0	6	0	6	0	6	0	1	4	8	3	0	0	0	0	1	2	5	3	5	0	0	0
ASV_367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	53	0	0	112	17	0	0	1	0	0	0	0	0	0
ASV_368	14	2	7	0	0	0	0	1	0	0	0	0	0	0	9	5	0	9	0	2	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	18	4	11	6	5	3	0	0	0	0	0	0	1	1	0	0	0	0	0	2	5	4	1	12	4	0	12	20	4	7	2	2	3	0	0	0	5	12	3	3	0	0
ASV_369	16	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	4	4	0	6	20	28	16	11	19	14	0	0	0	3	0	0	0	0	0
ASV_370	0	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	11	27	10	18	26	6	3	0	0	0	0	16	9	5	0	5	0	0	0	0	0	0	0	0	0	0	6	11	5	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	12	12	11	0	0	0	0	0	0
ASV_371	22	23	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	0	0	9	0	11	0	0	0	4	0	0	6	8	0	5	7	0	0	0	0	5	1	4	0	0	4	0	0	6	17	20	0	0	0	3	0	0	0	9	5	0	5	6	0
ASV_372	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	54	7	5	0	0	0	19	53	31	6	2	0	4	0	10	5	0	0	0	0	0	0	0
ASV_373	0	0	0	0	0	10	23	24	52	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	6	9	4	1	2	4	5	0	3	4	2	7	3	5	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_374	0	3	1	1	0	18	27	19	15	12	0	0	0	0	0	0	0	0	8	7	5	0	0	2	0	6	6	0	0	0	3	10	10	0	0	0	1	0	0	0	5	1	0	0	0	0	0	0	0	2	0	3	3	0	3	4	2	0	0	0	0	8	9	9	0	0	0	4	0	0	0	0	0	0	1	0	0	0
ASV_375	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	8	21	15	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	2	1	0	6	0	6	7	0	10	5	16	0	0	0	0	0	0	7	10	9	8	0	0	0	0	0	0	0	0	0	0	0	0	4	8	8	12	0
ASV_376	2	0	1	10	1	34	20	13	19	19	2	0	3	0	0	4	0	0	3	0	3	0	0	5	0	0	7	2	0	3	0	0	3	0	0	0	3	0	2	5	0	0	0	1	0	0	2	2	0	0	0	4	0	1	5	0	2	0	1	2	0	0	8	0	5	0	0	0	0	5	5	0	0	0	0	0	0	0
ASV_377	34	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	7	5	14	3	0	1	5	4	0	0	0	0	0	0	2	12	13	6	10	12	0
ASV_378	0	0	0	55	0	8	18	16	12	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	7	3	0	1	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	6	4	9	5	9	0	0	5	0	0	7	0	2	0	0	0	0	0	9	5	2	0	0	0	0	0	0
ASV_379	0	0	0	9	0	23	14	23	16	16	0	0	5	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	23	6	0	0	0	0	4	0	0	0	13	0	15	0	0	0	0	0	15	0	0	0	0	7	0	0	0
ASV_380	0	0	5	0	0	0	31	34	29	13	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	4	2	4	0	3	5	0	4	4	0	0	4	0	0	2	6	6	4	6	17	0	0	0	0	0	2	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_381	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	7	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	66	0	0	7	0	15	0	21	4	0	11	6	11	0	1	0	0	4	0	0	0	0
ASV_382	22	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	0	4	32	55	5	12	15	22	0	0	0	0	0	0	0	0	0
ASV_383	13	5	5	3	0	0	5	0	9	18	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	2	17	0	6	0	0	0	0	11	0	9	0	3	0	0	5	8	4	10	7	6	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	10	0	0	3	9	0	0	0	0
ASV_384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	25	0	25	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	16	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_385	36	9	20	0	0	0	0	0	2	3	0	0	0	0	0	1	3	0	0	3	2	7	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	6	8	8	25	0	0	1	4	10	2	4	5	0	0	0	0	5	0	5	0	4	0
ASV_386	0	5	0	4	0	0	0	20	24	19	0	0	0	0	0	0	0	0	2	7	0	12	0	0	0	0	0	0	0	0	0	0	0	4	30	16	0	3	0	0	0	0	3	0	0	5	13	9	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_387	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	4	0	0	1	0	0	0	0	0	0	1	0	0	47	33	40	0	6	0	0	0	0	0	2	12	0	0	0	0	0	0	15	5	5	0	0	0	0	0	0
ASV_388	16	5	15	0	0	0	0	4	0	4	0	0	0	0	2	1	9	7	0	0	0	0	6	8	0	0	0	0	0	2	0	0	0	0	2	0	1	0	1	3	6	0	5	9	7	6	4	3	0	0	7	0	0	0	0	0	6	7	2	9	4	0	0	9	2	0	1	0	0	0	0	0	0	6	0	0	10	0
ASV_389	21	4	6	0	0	0	0	0	3	0	0	0	0	0	11	0	7	2	0	0	0	2	5	19	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	3	0	3	2	1	1	2	0	2	0	0	0	0	0	7	4	0	6	3	0	0	5	7	2	8	1	3	0	0	0	9	7	6	7	13	0
ASV_390	25	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	5	0	0	0	3	4	17	34	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	9	0	0	0	2	0	0	0	5	0	0	0	11	2	14	14	26	0
ASV_391	0	0	0	3	0	44	18	24	20	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	3	1	2	1	0	3	8	9	0	0	0	0	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	8	0	0	0	0	1	0	4	0	0	0	0	0	0	0	2	3	0	0	0	0
ASV_392	1	0	0	0	23	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	25	24	4	0	1	0	0	51	0	0	0	0	2	1	14	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	6	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_393	0	0	0	0	0	0	2	12	8	7	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	41	66	7	4	4	0	0	0	0	9	2	0	0	0	0	1	0
ASV_394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	65	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	38	0	0	0	0	0	20	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_395	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	31	26	16	0	5	0	9	8	9	14	3	9	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_396	34	1	22	0	0	0	0	9	5	0	0	0	0	0	5	0	0	0	0	3	0	0	14	15	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	5	4	4	11	10	0	0	4	0	0	0	3	3	0	0	0	0	9	0	0	12	0
ASV_397	40	10	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	9	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	13	7	0	0	0	0	0	2	0	26	13	7	6	0	0
ASV_398	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	16	4	9	0	0	0	0	28	28	18	0	0	2	0	0	11	7	6	0	2	0	2	0
ASV_399	0	8	0	14	0	16	0	0	0	13	7	62	0	5	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
ASV_400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	17	5	0	0	24	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	23	4	0	13	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	1	0	3	0	0	0	3	0	10	6	18	1	4	14	8	19	12	1	0	0	0	1	0	0	0	0
ASV_402	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	33	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	27	0	0	0	3	0	0	0	0	0	0	0	0	16	10	21	0	0	0
ASV_403	0	2	3	3	0	2	8	11	25	15	2	0	2	0	0	0	0	0	6	3	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	4	0	0	0	4	1	0	2	0	6	10	5	2	1	1	0	0	21	7	6	0	0	1	0	0	0
ASV_404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	18	12	28	37	19	5	9	0	0	10	11	3	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_405	25	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	5	13	0	0	0	0	13	27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	9	0	0	7	7	0	0	0	3	0	6	11	17	0
ASV_406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	15	9	0	8	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	3	0	8	0	8	3	11	14	8	0	11	0	11	8	0	0	0	0	0	0	0	0	0
ASV_407	19	5	16	0	0	0	0	0	0	0	0	0	0	0	4	9	18	13	0	3	0	3	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	9	9	0	0	2	1	1	0	0	2	0	0	0	2	10	8	5	0	0	0
ASV_408	0	0	1	1	0	49	50	14	21	0	0	0	0	0	0	0	0	0	4	5	0	3	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	0	3	0	1	0	0	0	0	0	1	0	0	3	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_409	0	0	0	0	0	78	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	19	22	0	1	1	4	3	0	0	1	0	0	0	0	6	6	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_410	0	2	2	4	0	15	8	37	17	16	0	0	0	1	1	0	0	2	2	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	3	0	4	14	0	3	0	3	0	0	1	4	2	7	2	2	0	0	0
ASV_411	44	11	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	6	8	6	0	0	4	4	1	0	0	0	0	0	0	4	3	0	2	0	0
ASV_412	16	6	9	0	0	0	1	3	0	4	0	0	0	0	0	3	2	4	0	0	0	2	8	7	0	0	0	0	2	4	3	0	0	0	0	0	3	0	0	0	0	1	3	3	0	0	4	0	2	4	2	0	0	0	0	0	6	0	7	5	3	2	0	11	11	3	6	4	0	0	0	0	0	5	0	1	4	0
ASV_413	4	2	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	8	5	0	5	1	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	15	7	0	26	3	34	0	0	0	0	0	0	0	0	0	2
ASV_414	0	0	0	0	1	24	11	0	9	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	63	0	0	0	0	8	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	2	3	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0
ASV_415	26	3	4	2	0	0	0	0	2	0	0	0	0	0	16	9	0	2	0	0	0	4	15	21	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	5	3	5	7	0	0	0	2	0	0	0	4	0	1	0	8	0	0	7	6	0
ASV_416	0	1	6	0	0	8	37	15	25	27	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	6	0	0	0	1	2	0	3	1	4	1	1	1	0	1	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_417	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	9	7	0	0	0	0	0	0	0	0	0	0	0	0	49	41	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_418	24	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	5	0	0	0	8	15	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	2	0	6	4	11	7	0	0	10	0	0	4	2	7	0	1	0	5	2	0	5	15	0
ASV_419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	26	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159
ASV_421	0	0	0	0	83	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	22	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_422	0	0	0	1	0	5	13	28	29	39	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	5	2	0	0	2	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	3	3	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	2	0
