	GB19-0250	GB19-0251	GB19-0252	GB19-0253	GB19-0254	MLW-0517-0-5	MLW-0517-10	MLW-0517-20	MLW-0517-25	MLW-0517-30	MLW-0518-00	MLW-0518-05	MLW-0518-10	MLW-0518-12	MLW-0518-17	MLW-0518-20	MLW-0518-25	MLW-0518-35	MLW-0519-05	MLW-0519-12	MLW-0519-15	MLW-0519-17	MLW-0519-25	MLW-0519-35	MLW-0521-05	MLW-0521-10	MLW-0521-14	MLW-0521-18	MLW-0521-22	MLW-0521-27	MLW-0521-35	MLW-0617-0-5m	MLW-0617-10m	MLW-0617-15m	MLW-0617-20m	MLW-0617-27m	MLW-0917-05-1	MLW-0917-05-2	MLW-0917-05-3	MLW-0917-10-1	MLW-0917-10-2	MLW-0917-10-3	MLW-0917-15-1	MLW-0917-15-2	MLW-0917-15-3	MLW-0917-20-1	MLW-0917-20-2	MLW-0917-20-3	MLW-0917-24-1	MLW-0917-24-2	MLW-0917-24-3	MLW-0917-5-1	MLW-0917-5-2	MLW-0917-5-3	MLW-0919-00	MLW-0919-10	MLW-0919-16	MLW-0919-17	MLW-0919-18	MLW-0919-20	MLW-0919-30	MLW-0920-05	MLW-0920-10	MLW-0920-15	MLW-0920-18	MLW-0920-20	MLW-0920-22	MLW-0920-25	MLW-0920-30	MLW-1018-00	MLW-1018-05	MLW-1018-12	MLW-1018-15	MLW-1018-17	MLW-1018-20	MLW-1018-30	MLW-1018-35	MLW-DNAexBlank-50cyc
ASV_14	84	86	71	287	775	1371	645	510	558	487	131	100	87	41	14	20	26	15	396	184	87	60	30	33	2215	1160	391	346	500	644	286	644	166	47	56	42	157	103	161	57	61	76	54	41	45	35	58	41	37	37	28	82	109	97	194	99	80	66	39	59	23	296	207	71	65	6	17	18	14	86	94	70	32	25	29	18	21	0
ASV_15	34	89	41	167	91	3088	1888	1721	1579	1592	25	11	42	22	38	33	49	49	172	125	51	38	19	31	0	322	576	167	75	96	70	83	48	15	34	28	71	48	80	33	42	30	23	25	17	20	25	25	21	25	31	19	7	23	69	67	58	25	19	33	4	203	310	317	210	50	63	57	18	41	31	29	39	51	29	29	39	0
ASV_16	3	3	9	23	0	2315	2204	1993	1746	1800	8	0	6	0	0	0	0	4	87	29	0	10	6	2	0	399	662	183	13	34	63	57	501	145	154	148	57	60	48	26	34	25	17	13	21	13	39	31	18	25	17	119	127	105	11	7	1	8	13	0	3	63	22	62	37	11	9	0	0	18	8	8	16	10	6	2	0	0
ASV_17	29	62	57	85	39	868	1358	1006	1001	686	104	88	259	106	49	54	37	51	454	304	130	104	61	40	0	128	197	47	3	27	0	21	428	88	90	68	158	215	149	154	173	99	79	57	69	37	61	57	43	38	34	747	741	768	103	428	133	72	41	61	4	32	42	12	7	0	2	0	1	112	41	60	77	43	20	15	36	0
ASV_18	60	32	48	120	101	411	214	151	205	199	10	3	7	0	3	8	16	13	35	17	5	10	12	12	4495	1257	1484	396	524	1054	440	152	37	11	13	12	166	78	248	39	59	31	34	22	16	18	14	20	16	8	17	40	37	47	179	38	22	11	4	13	2	34	28	35	19	4	4	5	4	25	14	16	21	20	17	13	16	0
ASV_19	54	143	105	569	868	418	225	173	247	336	50	31	60	32	5	12	0	9	162	61	25	14	11	11	1131	862	482	329	417	725	365	152	25	8	14	8	286	57	355	6	5	12	25	9	0	12	14	8	25	11	11	62	37	79	409	61	20	19	11	25	6	548	281	115	63	20	10	21	0	315	432	168	34	25	19	15	30	0
ASV_20	55	47	32	70	389	637	203	137	145	159	16	27	16	13	10	0	4	3	86	37	15	13	12	11	462	396	162	69	158	164	103	1036	39	0	23	21	596	127	855	19	27	13	20	9	11	10	20	12	10	19	11	23	31	34	347	33	13	19	9	18	8	152	154	57	21	3	4	3	1	63	112	56	22	7	11	2	11	0
ASV_21	0	12	6	27	178	1020	68	57	46	53	9	0	0	0	2	0	0	0	98	6	2	4	0	0	2694	693	428	103	64	157	64	307	3	0	7	9	290	65	303	0	0	4	3	4	1	0	1	0	2	3	0	23	24	39	100	14	2	2	2	2	0	61	63	36	21	0	1	0	2	173	91	133	3	2	0	0	0	0
ASV_22	88	38	35	16	4	0	20	18	25	12	14	5	4	54	216	165	132	150	40	43	40	88	159	161	0	7	22	15	5	0	2	0	0	0	0	0	196	150	172	37	47	37	38	52	16	71	57	51	47	50	86	57	51	71	170	345	142	117	105	195	54	209	312	247	124	35	41	42	23	377	259	247	260	202	200	199	192	0
ASV_23	95	31	32	9	0	13	6	13	7	11	0	7	13	57	153	94	76	123	35	24	29	58	155	135	0	12	23	8	0	0	0	0	0	7	0	0	182	131	165	25	41	34	26	20	27	33	30	47	18	30	57	36	45	41	209	322	118	94	104	171	60	257	434	313	173	52	43	55	41	500	368	364	224	147	177	176	201	0
